Sample,Slice,Threshold,Elements,Time(s),K(m2),Delta P(psi),Qt,K_eq(m2)
8,0228,2,32498,8.58578,1e-15,6894.76,9.678331175e-09,1.40653e-15
8,0228,3,33420,8.61708,1e-15,6894.76,4.202068172e-07,6.10677e-14
8,0228,4,33284,7.80962,1e-15,6894.76,4.805896833e-07,6.9843e-14
8,0229,1,31844,7.7676,1e-15,6894.76,8.324784337e-09,1.20982e-15
8,0229,2,32492,7.98405,1e-15,6894.76,9.690684975e-09,1.40833e-15
8,0229,3,32492,0,0,0,0,0
8,0229,4,33324,8.40886,1e-15,6894.76,4.92891659e-07,7.16308e-14
8,0230,1,31858,7.32515,1e-15,6894.76,8.326804554e-09,1.21012e-15
8,0230,2,32644,8.58557,1e-15,6894.76,9.622355201e-09,1.3984e-15
8,0230,3,33522,8.60221,1e-15,6894.76,4.541291524e-07,6.59976e-14
8,0230,4,33398,8.76016,1e-15,6894.76,6.332109078e-07,9.20231e-14
8,0231,1,31834,7.69143,1e-15,6894.76,8.242460519e-09,1.19786e-15
8,0231,2,32636,7.56006,1e-15,6894.76,9.545361461e-09,1.38721e-15
8,0231,3,33454,8.20339,1e-15,6894.76,2.764699883e-07,4.01788e-14
8,0231,4,33264,8.11576,1e-15,6894.76,6.45074437e-07,9.37472e-14
8,0232,1,31630,7.46619,1e-15,6894.76,8.193641621e-09,1.19076e-15
8,0232,2,32668,7.84135,1e-15,6894.76,9.565950432e-09,1.3902e-15
8,0232,3,33526,8.71405,1e-15,6894.76,2.351495744e-07,3.41738e-14
8,0232,4,33416,9.00212,1e-15,6894.76,6.484733616e-07,9.42412e-14
8,0233,1,31686,8.12265,1e-15,6894.76,8.142267443e-09,1.1833e-15
8,0233,2,32400,7.75062,1e-15,6894.76,9.52718367e-09,1.38456e-15
8,0233,3,33354,8.53569,1e-15,6894.76,2.368509906e-07,3.4421e-14
8,0233,4,33160,8.06479,1e-15,6894.76,5.218912459e-07,7.58453e-14
