Slice,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
500,197,8944,45.40102,2.18359,22.38527,8.26800,5.41244,67.87287,8.98314,306.82234,327.20812,88.86044,5.86687
501,203,8742,43.06404,2.13428,21.42518,7.88034,5.20993,65.05887,8.59443,301.51232,319.90640,94.48274,5.66423
502,198,9005,45.47980,2.19849,22.33506,8.16285,5.29475,64.09819,8.89524,310.40404,334.98485,87.28050,5.74316
503,208,9012,43.32692,2.20020,21.46881,7.86933,5.07785,62.02693,8.53345,306.85577,312.28365,95.06952,5.49529
504,191,9209,48.21466,2.24829,23.31617,8.57890,5.40050,70.51631,9.30267,295.72775,317.61780,91.07457,5.86670
505,191,9151,47.91099,2.23413,23.03651,8.40988,5.34564,65.61615,9.11940,300.03665,315.00000,87.37912,5.84339
506,198,8811,44.50000,2.15112,21.92692,8.06602,5.04082,72.21342,8.73687,299.49495,315.36869,93.92677,5.53800
507,197,8994,45.65482,2.19580,22.34270,8.33635,5.17008,67.00184,8.97500,310.04569,325.12183,95.50928,5.66472
508,203,9526,46.92611,2.32568,22.77555,8.45666,5.23554,62.45750,9.13162,306.86700,323.33498,92.67576,5.74156
509,196,9664,49.30612,2.35938,23.64596,8.86942,5.51846,67.39670,9.54360,304.72449,317.37245,90.85305,6.00952
510,191,9468,49.57068,2.31152,23.91591,8.83675,5.52422,65.35805,9.55630,309.43455,326.08377,86.47090,6.04707
511,189,9748,51.57672,2.37988,24.37615,8.84657,5.69571,65.79698,9.60182,298.44444,319.04762,86.53962,6.23943
512,187,9863,52.74332,2.40796,24.47912,9.01103,5.64772,67.47235,9.77485,304.55080,310.55615,88.18861,6.19693
513,199,9785,49.17085,2.38892,23.04403,8.50494,5.36159,65.88033,9.18090,305.43719,311.43216,87.78449,5.88011
514,189,9140,48.35979,2.23145,23.32433,8.62528,5.39555,66.37691,9.32149,298.43386,312.70899,81.81750,5.91005
515,188,8953,47.62234,2.18579,22.91173,8.39815,5.34556,70.08124,9.15991,295.56915,314.63298,91.95620,5.84312
