Sample,Slice,Threshold,Elements,Time(s),K(m2),Delta P(psi),Qt,K_eq(m2)
5,0210,3,34798,9.07174,1e-15,6894.76,9.743183988e-09,1.41596e-15
5,0210,4,34166,8.51263,1e-15,6894.76,1.141003323e-08,1.65819e-15
5,0211,1,31696,6.98094,1e-15,6894.76,7.078302995e-09,1.02867e-15
5,0211,2,32780,8.53484,1e-15,6894.76,7.356971152e-09,1.06917e-15
5,0211,3,34656,8.46084,1e-15,6894.76,9.818589636e-09,1.42691e-15
5,0211,4,34354,8.67793,1e-15,6894.76,1.223080575e-08,1.77748e-15
5,0212,1,31856,7.29676,1e-15,6894.76,7.100223711e-09,1.03186e-15
5,0212,2,32720,8.27995,1e-15,6894.76,7.390361334e-09,1.07402e-15
5,0212,3,34632,8.30327,1e-15,6894.76,9.866813253e-09,1.43392e-15
5,0212,4,34108,8.78233,1e-15,6894.76,1.26880027e-08,1.84392e-15
5,0213,1,31724,7.63513,1e-15,6894.76,7.106012594e-09,1.0327e-15
5,0213,2,32660,8.02456,1e-15,6894.76,7.409027938e-09,1.07674e-15
5,0213,3,34548,9.02696,1e-15,6894.76,1.027227135e-08,1.49285e-15
5,0213,4,34156,8.40407,1e-15,6894.76,1.260819864e-08,1.83232e-15
5,0214,1,31744,8.02947,1e-15,6894.76,7.101466714e-09,1.03204e-15
5,0214,2,32756,7.64978,1e-15,6894.76,7.439714824e-09,1.0812e-15
5,0214,4,34040,8.61498,1e-15,6894.76,1.232994581e-08,1.79188e-15
5,0215,1,31712,7.54828,1e-15,6894.76,7.103042084e-09,1.03227e-15
5,0215,3,34976,8.51772,1e-15,6894.76,1.024634693e-08,1.48908e-15
5,0215,4,34252,8.00713,1e-15,6894.76,1.280543705e-08,1.86099e-15
5,0216,1,31766,7.5494,1e-15,6894.76,7.111212673e-09,1.03346e-15
5,0216,2,32628,8.23411,1e-15,6894.76,7.414953421e-09,1.0776e-15
5,0216,3,34626,8.38417,1e-15,6894.76,9.863802601e-09,1.43348e-15
5,0216,4,34046,7.76958,1e-15,6894.76,1.203257486e-08,1.74867e-15
5,0217,1,31714,7.54351,1e-15,6894.76,7.115131502e-09,1.03403e-15
5,0217,2,32542,7.42636,1e-15,6894.76,7.390618326e-09,1.07406e-15
5,0217,3,34524,8.45698,1e-15,6894.76,9.892869746e-09,1.43771e-15
5,0217,4,34146,9.02276,1e-15,6894.76,1.215194151e-08,1.76601e-15
5,0218,1,31676,7.63334,1e-15,6894.76,7.119752649e-09,1.0347e-15
5,0218,2,32754,7.84141,1e-15,6894.76,7.39152147e-09,1.07419e-15
5,0218,3,34786,8.28507,1e-15,6894.76,9.669598244e-09,1.40526e-15
5,0218,4,34274,8.38912,1e-15,6894.76,1.21532444e-08,1.7662e-15
5,0219,1,31874,8.3056,1e-15,6894.76,7.117785313e-09,1.03441e-15
5,0219,2,32522,7.85767,1e-15,6894.76,7.38928226e-09,1.07387e-15
5,0220,1,31624,7.03339,1e-15,6894.76,7.122739421e-09,1.03513e-15
5,0220,2,32810,8.03617,1e-15,6894.76,7.404043238e-09,1.07601e-15
5,0220,4,34340,8.3275,1e-15,6894.76,1.307546506e-08,1.90023e-15
5,0221,1,31778,7.83019,1e-15,6894.76,7.119803368e-09,1.03471e-15
5,0221,2,32968,8.05266,1e-15,6894.76,7.39582205e-09,1.07482e-15
5,0221,3,34858,8.60049,1e-15,6894.76,9.832690406e-09,1.42896e-15
5,0221,4,34252,8.47386,1e-15,6894.76,1.267960162e-08,1.8427e-15
5,0222,1,32002,7.52016,1e-15,6894.76,7.118237061e-09,1.03448e-15
5,0222,2,32728,8.41373,1e-15,6894.76,7.419407975e-09,1.07825e-15
5,0222,3,34598,8.65442,1e-15,6894.76,9.820503131e-09,1.42719e-15
5,0222,4,34148,8.79357,1e-15,6894.76,1.272320288e-08,1.84903e-15
5,0223,1,31878,7.03143,1e-15,6894.76,7.114613925e-09,1.03395e-15
5,0223,2,32804,8.09402,1e-15,6894.76,7.442691527e-09,1.08163e-15
5,0223,4,34290,8.67642,1e-15,6894.76,1.257055964e-08,1.82685e-15
5,0224,1,31632,7.62646,1e-15,6894.76,7.120296571e-09,1.03478e-15
5,0224,2,32652,8.00756,1e-15,6894.76,7.438454011e-09,1.08101e-15
5,0224,3,34600,8.36612,1e-15,6894.76,9.885922795e-09,1.4367e-15
5,0224,4,34318,8.44432,1e-15,6894.76,1.263583931e-08,1.83634e-15
5,0225,1,31748,7.8095,1e-15,6894.76,7.139189469e-09,1.03752e-15
5,0225,2,32658,7.86926,1e-15,6894.76,7.433040308e-09,1.08023e-15
5,0225,4,34356,8.27898,1e-15,6894.76,1.179001259e-08,1.71342e-15
5,0226,1,31864,7.42133,1e-15,6894.76,7.136097492e-09,1.03707e-15
5,0226,2,32696,7.91335,1e-15,6894.76,7.439471135e-09,1.08116e-15
5,0226,3,34780,8.71109,1e-15,6894.76,9.519766173e-09,1.38349e-15
5,0226,4,34448,8.06741,1e-15,6894.76,1.255183412e-08,1.82413e-15
5,0227,1,31614,7.66423,1e-15,6894.76,7.126941887e-09,1.03574e-15
5,0227,2,32736,7.61137,1e-15,6894.76,7.455896783e-09,1.08355e-15
5,0227,3,34688,8.18224,1e-15,6894.76,9.533221335e-09,1.38544e-15
5,0227,4,34244,8.50372,1e-15,6894.76,1.147573502e-08,1.66774e-15
5,0228,1,31852,8.03764,1e-15,6894.76,7.135182304e-09,1.03694e-15
5,0228,2,32808,8.48154,1e-15,6894.76,7.454068082e-09,1.08328e-15
5,0228,4,34470,8.5751,1e-15,6894.76,1.271197827e-08,1.8474e-15
5,0229,1,31812,7.85077,1e-15,6894.76,7.12700117e-09,1.03575e-15
5,0229,2,32660,7.53359,1e-15,6894.76,7.472722754e-09,1.08599e-15
5,0229,4,34234,8.49908,1e-15,6894.76,1.158872889e-08,1.68416e-15
5,0230,1,31634,7.35135,1e-15,6894.76,7.114657455e-09,1.03396e-15
5,0230,2,32520,7.59076,1e-15,6894.76,7.43145432e-09,1.08e-15
5,0230,3,34566,9.28249,1e-15,6894.76,nan,nan
