aux_Image_filename,Image_file,Id1,Id2,Sample,Threshold,Slice,%Area,K(m2),Keq(m2),Delta P(Pa),Count,Total Area,Average Size,Perimeter,Knorm,Direction
am5_c1_final-1159.tif,am5_c1_final-1159,am5_c1_s1159,1159,5,1,1159,3.71069,1.00E-15,1.06E-15,6894.76,264,15199,57.57197,25.24186,1.06026,X
am5_c1_final-1160.tif,am5_c1_final-1160,am5_c1_s1160,1160,5,1,1160,3.76733,1.00E-15,1.06E-15,6894.76,268,15431,57.57836,24.72679,1.061,X
am5_c1_final-1161.tif,am5_c1_final-1161,am5_c1_s1161,1161,5,1,1161,3.9917,1.00E-15,1.07E-15,6894.76,257,16350,63.61868,26.62798,1.06968,X
am5_c1_final-1162.tif,am5_c1_final-1162,am5_c1_s1162,1162,5,1,1162,4.07227,1.00E-15,1.07E-15,6894.76,265,16680,62.9434,25.88898,1.06999,X
am5_c1_final-1163.tif,am5_c1_final-1163,am5_c1_s1163,1163,5,1,1163,4.07593,1.00E-15,1.07E-15,6894.76,256,16695,65.21484,26.77034,1.06983,X
am5_c1_final-1164.tif,am5_c1_final-1164,am5_c1_s1164,1164,5,1,1164,4.01099,1.00E-15,1.07E-15,6894.76,258,16429,63.67829,26.17567,1.06608,X
am5_c1_final-1165.tif,am5_c1_final-1165,am5_c1_s1165,1165,5,1,1165,4.0813,1.00E-15,1.07E-15,6894.76,270,16717,61.91481,25.8963,1.0651,X
am5_c1_final-1166.tif,am5_c1_final-1166,am5_c1_s1166,1166,5,1,1166,4.18994,1.00E-15,1.07E-15,6894.76,257,17162,66.77821,27.56538,1.06767,X
am5_c1_final-1167.tif,am5_c1_final-1167,am5_c1_s1167,1167,5,1,1167,4.27832,1.00E-15,1.07E-15,6894.76,280,17524,62.58571,26.09635,1.06869,X
am5_c1_final-1168.tif,am5_c1_final-1168,am5_c1_s1168,1168,5,1,1168,4.44092,1.00E-15,1.07E-15,6894.76,276,18190,65.9058,27.63679,1.07364,X
am5_c1_final-1169.tif,am5_c1_final-1169,am5_c1_s1169,1169,5,1,1169,4.58472,1.00E-15,1.08E-15,6894.76,287,18779,65.43206,27.49069,1.07527,X
am5_c1_final-1170.tif,am5_c1_final-1170,am5_c1_s1170,1170,5,1,1170,4.646,1.00E-15,1.08E-15,6894.76,290,19030,65.62069,27.46595,1.08208,X
am5_c1_final-1171.tif,am5_c1_final-1171,am5_c1_s1171,1171,5,1,1171,4.65601,1.00E-15,1.08E-15,6894.76,286,19071,66.68182,27.55114,1.08283,X
am5_c1_final-1172.tif,am5_c1_final-1172,am5_c1_s1172,1172,5,1,1172,4.73901,1.00E-15,1.09E-15,6894.76,293,19411,66.24915,27.33843,1.09001,X
am5_c1_final-1173.tif,am5_c1_final-1173,am5_c1_s1173,1173,5,1,1173,4.77246,1.00E-15,1.09E-15,6894.76,287,19548,68.1115,27.66901,1.09047,X
am5_c1_final-1174.tif,am5_c1_final-1174,am5_c1_s1174,1174,5,1,1174,4.90356,1.00E-15,1.09E-15,6894.76,290,20085,69.25862,27.73387,1.09208,X
am5_c1_final-1175.tif,am5_c1_final-1175,am5_c1_s1175,1175,5,1,1175,4.86743,1.00E-15,1.09E-15,6894.76,282,19937,70.69858,28.05571,1.08941,X
am5_c1_final-1176.tif,am5_c1_final-1176,am5_c1_s1176,1176,5,1,1176,4.84863,1.00E-15,1.09E-15,6894.76,280,19860,70.92857,28.19463,1.09179,X
am5_c1_final-1177.tif,am5_c1_final-1177,am5_c1_s1177,1177,5,1,1177,4.8811,1.00E-15,1.09E-15,6894.76,281,19993,71.14947,28.44787,1.09139,X
am5_c1_final-1178.tif,am5_c1_final-1178,am5_c1_s1178,1178,5,1,1178,4.85229,1.00E-15,1.09E-15,6894.76,284,19875,69.98239,28.61693,1.08759,X
am5_c1_final-1179.tif,am5_c1_final-1179,am5_c1_s1179,1179,5,1,1179,4.80737,1.00E-15,1.09E-15,6894.76,282,19691,69.82624,28.63964,1.08503,X
am5_c1_final-1180.tif,am5_c1_final-1180,am5_c1_s1180,1180,5,1,1180,4.79199,1.00E-15,1.09E-15,6894.76,287,19628,68.39024,28.19694,1.0863,X
am5_c1_final-1181.tif,am5_c1_final-1181,am5_c1_s1181,1181,5,1,1181,4.70923,1.00E-15,1.08E-15,6894.76,300,19289,64.29667,26.81197,1.08317,X
am5_c1_final-1182.tif,am5_c1_final-1182,am5_c1_s1182,1182,5,1,1182,4.50635,1.00E-15,1.08E-15,6894.76,284,18458,64.99296,27.06183,1.08048,X
am5_c1_final-1183.tif,am5_c1_final-1183,am5_c1_s1183,1183,5,1,1183,4.50366,1.00E-15,1.08E-15,6894.76,276,18447,66.83696,27.64552,1.08135,X
am5_c1_final-1184.tif,am5_c1_final-1184,am5_c1_s1184,1184,5,1,1184,4.43481,1.00E-15,1.08E-15,6894.76,269,18165,67.52788,27.72804,1.0789,X
am5_c1_final-1185.tif,am5_c1_final-1185,am5_c1_s1185,1185,5,1,1185,4.40137,1.00E-15,1.08E-15,6894.76,270,18028,66.77037,27.46328,1.08027,X
am5_c1_final-1186.tif,am5_c1_final-1186,am5_c1_s1186,1186,5,1,1186,4.16431,1.00E-15,1.08E-15,6894.76,265,17057,64.36604,27.04772,1.0759,X
am5_c1_final-1187.tif,am5_c1_final-1187,am5_c1_s1187,1187,5,1,1187,4.11133,1.00E-15,1.07E-15,6894.76,288,16840,58.47222,25.27887,1.07478,X
am5_c1_final-1188.tif,am5_c1_final-1188,am5_c1_s1188,1188,5,1,1188,4.15063,1.00E-15,1.08E-15,6894.76,286,17001,59.44406,25.64645,1.0771,X
am5_c1_final-1189.tif,am5_c1_final-1189,am5_c1_s1189,1189,5,1,1189,4.01709,1.00E-15,1.08E-15,6894.76,268,16454,61.39552,26.13848,1.07564,X
am5_c1_final-1190.tif,am5_c1_final-1190,am5_c1_s1190,1190,5,1,1190,4.06274,1.00E-15,1.08E-15,6894.76,274,16641,60.73358,25.77617,1.07584,X
am5_c1_final-1191.tif,am5_c1_final-1191,am5_c1_s1191,1191,5,1,1191,4.14526,1.00E-15,1.08E-15,6894.76,275,16979,61.74182,26.01004,1.07744,X
am5_c1_final-1192.tif,am5_c1_final-1192,am5_c1_s1192,1192,5,1,1192,4.44727,1.00E-15,1.08E-15,6894.76,277,18216,65.76173,27.5172,1.08226,X
am5_c1_final-1193.tif,am5_c1_final-1193,am5_c1_s1193,1193,5,1,1193,4.59741,1.00E-15,1.08E-15,6894.76,285,18831,66.07368,27.33487,1.08391,X
am5_c1_final-1194.tif,am5_c1_final-1194,am5_c1_s1194,1194,5,1,1194,4.78027,1.00E-15,1.09E-15,6894.76,287,19580,68.223,28.49802,1.09107,X
am5_c1_final-1195.tif,am5_c1_final-1195,am5_c1_s1195,1195,5,1,1195,4.91772,1.00E-15,1.09E-15,6894.76,312,20143,64.5609,27.08958,1.09258,X
am5_c1_final-1196.tif,am5_c1_final-1196,am5_c1_s1196,1196,5,1,1196,4.68848,1.00E-15,1.09E-15,6894.76,301,19204,63.80066,27.09051,1.0891,X
am5_c1_final-1197.tif,am5_c1_final-1197,am5_c1_s1197,1197,5,1,1197,4.60938,1.00E-15,1.08E-15,6894.76,309,18880,61.10032,26.46172,1.08442,X
